,Zeitstempel,Wert
0,202001010000.0,0.1
1,202001010015.0,-0.45000000000000007
2,202001010030.0,-1.0
3,202001010045.0,-1.55
4,202001010100.0,-2.1
5,202001010115.0,-2.4
6,202001010130.0,-2.7
7,202001010145.0,-3.0
8,202001010200.0,-3.3
9,202001010215.0,-3.175
10,202001010230.0,-3.05
11,202001010245.0,-2.925
12,202001010300.0,-2.8
13,202001010315.0,-2.9749999999999996
14,202001010330.0,-3.15
15,202001010345.0,-3.325
16,202001010400.0,-3.5
17,202001010415.0,-3.65
18,202001010430.0,-3.8
19,202001010445.0,-3.9499999999999997
20,202001010500.0,-4.1
21,202001010515.0,-4.1
22,202001010530.0,-4.1
23,202001010545.0,-4.1
24,202001010600.0,-4.1
25,202001010615.0,-4.1
26,202001010630.0,-4.1
27,202001010645.0,-4.1
28,202001010700.0,-4.1
29,202001010715.0,-4.225
30,202001010730.0,-4.35
31,202001010745.0,-4.475
32,202001010800.0,-4.6
33,202001010815.0,-4.574999999999999
34,202001010830.0,-4.55
35,202001010845.0,-4.525
36,202001010900.0,-4.5
37,202001010915.0,-4.125
38,202001010930.0,-3.75
39,202001010945.0,-3.375
40,202001011000.0,-3.0
41,202001011015.0,-1.875
42,202001011030.0,-0.75
43,202001011045.0,0.375
44,202001011100.0,1.5
45,202001011115.0,1.9
46,202001011130.0,2.3
47,202001011145.0,2.7
48,202001011200.0,3.1
49,202001011215.0,3.35
50,202001011230.0,3.5999999999999996
51,202001011245.0,3.8499999999999996
52,202001011300.0,4.1
53,202001011315.0,4.25
54,202001011330.0,4.4
55,202001011345.0,4.55
56,202001011400.0,4.7
57,202001011415.0,4.425
58,202001011430.0,4.15
59,202001011445.0,3.875
60,202001011500.0,3.6
61,202001011515.0,3.0
62,202001011530.0,2.4
63,202001011545.0,1.7999999999999998
64,202001011600.0,1.2
65,202001011615.0,0.925
66,202001011630.0,0.65
67,202001011645.0,0.375
68,202001011700.0,0.1
69,202001011715.0,0.125
70,202001011730.0,0.15000000000000002
71,202001011745.0,0.17500000000000002
72,202001011800.0,0.2
73,202001011815.0,0.07500000000000001
74,202001011830.0,-0.04999999999999999
75,202001011845.0,-0.175
76,202001011900.0,-0.3
77,202001011915.0,-0.425
78,202001011930.0,-0.55
79,202001011945.0,-0.675
80,202001012000.0,-0.8
81,202001012015.0,-1.225
82,202001012030.0,-1.65
83,202001012045.0,-2.075
84,202001012100.0,-2.5
85,202001012115.0,-2.65
86,202001012130.0,-2.8
87,202001012145.0,-2.95
88,202001012200.0,-3.1
89,202001012215.0,-3.1
90,202001012230.0,-3.1
91,202001012245.0,-3.1
92,202001012300.0,-3.1
93,202001012315.0,-3.3
94,202001012330.0,-3.5
95,202001012345.0,-3.7
96,202001020000.0,-3.9
97,202001020015.0,-3.775
98,202001020030.0,-3.65
99,202001020045.0,-3.525
100,202001020100.0,-3.4
101,202001020115.0,-3.5
102,202001020130.0,-3.5999999999999996
103,202001020145.0,-3.6999999999999997
104,202001020200.0,-3.8
105,202001020215.0,-3.925
106,202001020230.0,-4.05
107,202001020245.0,-4.175
108,202001020300.0,-4.3
109,202001020315.0,-4.225
110,202001020330.0,-4.15
111,202001020345.0,-4.075
112,202001020400.0,-4.0
113,202001020415.0,-4.1
114,202001020430.0,-4.2
115,202001020445.0,-4.300000000000001
116,202001020500.0,-4.4
117,202001020515.0,-3.9750000000000005
118,202001020530.0,-3.5500000000000003
119,202001020545.0,-3.125
120,202001020600.0,-2.7
121,202001020615.0,-2.4250000000000003
122,202001020630.0,-2.1500000000000004
123,202001020645.0,-1.875
124,202001020700.0,-1.6
125,202001020715.0,-1.975
126,202001020730.0,-2.35
127,202001020745.0,-2.725
128,202001020800.0,-3.1
129,202001020815.0,-2.325
130,202001020830.0,-1.55
131,202001020845.0,-0.7749999999999999
132,202001020900.0,0.0
133,202001020915.0,0.3
134,202001020930.0,0.6
135,202001020945.0,0.8999999999999999
136,202001021000.0,1.2
137,202001021015.0,1.7
138,202001021030.0,2.2
139,202001021045.0,2.7
140,202001021100.0,3.2
141,202001021115.0,3.0500000000000003
142,202001021130.0,2.9000000000000004
143,202001021145.0,2.75
144,202001021200.0,2.6
145,202001021215.0,2.175
146,202001021230.0,1.75
147,202001021245.0,1.325
148,202001021300.0,0.9
149,202001021315.0,0.9
150,202001021330.0,0.9
151,202001021345.0,0.9
152,202001021400.0,0.9
153,202001021415.0,0.75
154,202001021430.0,0.6
155,202001021445.0,0.44999999999999996
156,202001021500.0,0.3
157,202001021515.0,0.325
158,202001021530.0,0.35
159,202001021545.0,0.375
160,202001021600.0,0.4
161,202001021615.0,0.55
162,202001021630.0,0.7
163,202001021645.0,0.85
164,202001021700.0,1.0
165,202001021715.0,1.05
166,202001021730.0,1.1
167,202001021745.0,1.15
168,202001021800.0,1.2
169,202001021815.0,1.35
170,202001021830.0,1.5
171,202001021845.0,1.65
172,202001021900.0,1.8
173,202001021915.0,2.025
174,202001021930.0,2.25
175,202001021945.0,2.475
176,202001022000.0,2.7
177,202001022015.0,2.875
178,202001022030.0,3.05
179,202001022045.0,3.225
180,202001022100.0,3.4
181,202001022115.0,3.425
182,202001022130.0,3.45
183,202001022145.0,3.475
184,202001022200.0,3.5
185,202001022215.0,3.5
186,202001022230.0,3.5
187,202001022245.0,3.5
188,202001022300.0,3.5
189,202001022315.0,3.525
190,202001022330.0,3.55
191,202001022345.0,3.575
192,202001030000.0,3.6
193,202001030015.0,3.625
194,202001030030.0,3.6500000000000004
195,202001030045.0,3.6750000000000003
196,202001030100.0,3.7
197,202001030115.0,3.7750000000000004
198,202001030130.0,3.85
199,202001030145.0,3.925
200,202001030200.0,4.0
201,202001030215.0,4.075
202,202001030230.0,4.15
203,202001030245.0,4.225
204,202001030300.0,4.3
205,202001030315.0,4.375
206,202001030330.0,4.449999999999999
207,202001030345.0,4.5249999999999995
208,202001030400.0,4.6
209,202001030415.0,4.625
210,202001030430.0,4.65
211,202001030445.0,4.675
212,202001030500.0,4.7
213,202001030515.0,4.8
214,202001030530.0,4.9
215,202001030545.0,5.0
216,202001030600.0,5.1
217,202001030615.0,5.175
218,202001030630.0,5.25
219,202001030645.0,5.325
220,202001030700.0,5.4
221,202001030715.0,5.5
222,202001030730.0,5.6
223,202001030745.0,5.7
224,202001030800.0,5.8
225,202001030815.0,5.9
226,202001030830.0,6.0
227,202001030845.0,6.1
228,202001030900.0,6.2
229,202001030915.0,6.475
230,202001030930.0,6.75
231,202001030945.0,7.025
232,202001031000.0,7.3
233,202001031015.0,7.325
234,202001031030.0,7.35
235,202001031045.0,7.375
236,202001031100.0,7.4
237,202001031115.0,7.575
238,202001031130.0,7.75
239,202001031145.0,7.925
240,202001031200.0,8.1
241,202001031215.0,8.25
242,202001031230.0,8.399999999999999
243,202001031245.0,8.549999999999999
244,202001031300.0,8.7
245,202001031315.0,8.524999999999999
246,202001031330.0,8.35
247,202001031345.0,8.175
248,202001031400.0,8.0
249,202001031415.0,8.05
250,202001031430.0,8.1
251,202001031445.0,8.149999999999999
252,202001031500.0,8.2
253,202001031515.0,8.299999999999999
254,202001031530.0,8.399999999999999
255,202001031545.0,8.5
256,202001031600.0,8.6
257,202001031615.0,8.575
258,202001031630.0,8.55
259,202001031645.0,8.525
260,202001031700.0,8.5
261,202001031715.0,8.475
262,202001031730.0,8.45
263,202001031745.0,8.425
264,202001031800.0,8.4
265,202001031815.0,8.025
266,202001031830.0,7.65
267,202001031845.0,7.275
268,202001031900.0,6.9
269,202001031915.0,6.5
270,202001031930.0,6.1
271,202001031945.0,5.7
272,202001032000.0,5.3
273,202001032015.0,5.3
274,202001032030.0,5.3
275,202001032045.0,5.3
276,202001032100.0,5.3
277,202001032115.0,5.275
278,202001032130.0,5.25
279,202001032145.0,5.225
280,202001032200.0,5.2
281,202001032215.0,5.0
282,202001032230.0,4.800000000000001
283,202001032245.0,4.6000000000000005
284,202001032300.0,4.4
285,202001032315.0,4.4
286,202001032330.0,4.4
287,202001032345.0,4.4
288,202001040000.0,4.4
289,202001040015.0,4.45
290,202001040030.0,4.5
291,202001040045.0,4.55
292,202001040100.0,4.6
293,202001040115.0,4.3999999999999995
294,202001040130.0,4.199999999999999
295,202001040145.0,4.0
296,202001040200.0,3.8
297,202001040215.0,3.775
298,202001040230.0,3.75
299,202001040245.0,3.725
300,202001040300.0,3.7
301,202001040315.0,3.7750000000000004
302,202001040330.0,3.85
303,202001040345.0,3.925
304,202001040400.0,4.0
305,202001040415.0,4.075
306,202001040430.0,4.15
307,202001040445.0,4.225
308,202001040500.0,4.3
309,202001040515.0,4.325
310,202001040530.0,4.35
311,202001040545.0,4.375
312,202001040600.0,4.4
313,202001040615.0,4.5
314,202001040630.0,4.6
315,202001040645.0,4.7
316,202001040700.0,4.8
317,202001040715.0,4.875
318,202001040730.0,4.949999999999999
319,202001040745.0,5.0249999999999995
320,202001040800.0,5.1
321,202001040815.0,5.225
322,202001040830.0,5.35
323,202001040845.0,5.475
324,202001040900.0,5.6
325,202001040915.0,5.675
326,202001040930.0,5.75
327,202001040945.0,5.825
328,202001041000.0,5.9
329,202001041015.0,5.9
330,202001041030.0,5.9
331,202001041045.0,5.9
332,202001041100.0,5.9
333,202001041115.0,5.925000000000001
334,202001041130.0,5.95
335,202001041145.0,5.975
336,202001041200.0,6.0
337,202001041215.0,6.0
338,202001041230.0,6.0
339,202001041245.0,6.0
340,202001041300.0,6.0
341,202001041315.0,6.1
342,202001041330.0,6.2
343,202001041345.0,6.300000000000001
344,202001041400.0,6.4
345,202001041415.0,5.95
346,202001041430.0,5.5
347,202001041445.0,5.05
348,202001041500.0,4.6
349,202001041515.0,4.449999999999999
350,202001041530.0,4.3
351,202001041545.0,4.15
352,202001041600.0,4.0
353,202001041615.0,4.125
354,202001041630.0,4.25
355,202001041645.0,4.375
356,202001041700.0,4.5
357,202001041715.0,4.175
358,202001041730.0,3.85
359,202001041745.0,3.5250000000000004
360,202001041800.0,3.2
361,202001041815.0,3.1
362,202001041830.0,3.0
363,202001041845.0,2.9
364,202001041900.0,2.8
365,202001041915.0,2.875
366,202001041930.0,2.95
367,202001041945.0,3.025
368,202001042000.0,3.1
369,202001042015.0,3.075
370,202001042030.0,3.05
371,202001042045.0,3.025
372,202001042100.0,3.0
373,202001042115.0,3.05
374,202001042130.0,3.1
375,202001042145.0,3.1500000000000004
376,202001042200.0,3.2
377,202001042215.0,3.1
378,202001042230.0,3.0
379,202001042245.0,2.9
380,202001042300.0,2.8
381,202001042315.0,2.75
382,202001042330.0,2.7
383,202001042345.0,2.65
384,202001050000.0,2.6
385,202001050015.0,2.525
386,202001050030.0,2.45
387,202001050045.0,2.375
388,202001050100.0,2.3
389,202001050115.0,2.5999999999999996
390,202001050130.0,2.9
391,202001050145.0,3.2
392,202001050200.0,3.5
393,202001050215.0,3.475
394,202001050230.0,3.45
395,202001050245.0,3.425
396,202001050300.0,3.4
397,202001050315.0,3.325
398,202001050330.0,3.25
399,202001050345.0,3.175
400,202001050400.0,3.1
401,202001050415.0,2.975
402,202001050430.0,2.85
403,202001050445.0,2.725
404,202001050500.0,2.6
405,202001050515.0,2.35
406,202001050530.0,2.1
407,202001050545.0,1.85
408,202001050600.0,1.6
409,202001050615.0,1.5250000000000001
410,202001050630.0,1.4500000000000002
411,202001050645.0,1.375
412,202001050700.0,1.3
413,202001050715.0,1.2
414,202001050730.0,1.1
415,202001050745.0,1.0
416,202001050800.0,0.9
417,202001050815.0,1.0
418,202001050830.0,1.1
419,202001050845.0,1.2000000000000002
420,202001050900.0,1.3
421,202001050915.0,1.6500000000000001
422,202001050930.0,2.0
423,202001050945.0,2.35
424,202001051000.0,2.7
425,202001051015.0,3.1
426,202001051030.0,3.5
427,202001051045.0,3.9
428,202001051100.0,4.3
429,202001051115.0,4.475
430,202001051130.0,4.65
431,202001051145.0,4.825
432,202001051200.0,5.0
433,202001051215.0,5.025
434,202001051230.0,5.05
435,202001051245.0,5.074999999999999
436,202001051300.0,5.1
437,202001051315.0,5.175
438,202001051330.0,5.25
439,202001051345.0,5.325
440,202001051400.0,5.4
441,202001051415.0,5.375
442,202001051430.0,5.35
443,202001051445.0,5.325
444,202001051500.0,5.3
445,202001051515.0,5.275
446,202001051530.0,5.25
447,202001051545.0,5.225
448,202001051600.0,5.2
449,202001051615.0,5.25
450,202001051630.0,5.300000000000001
451,202001051645.0,5.3500000000000005
452,202001051700.0,5.4
453,202001051715.0,5.45
454,202001051730.0,5.5
455,202001051745.0,5.55
456,202001051800.0,5.6
457,202001051815.0,5.699999999999999
458,202001051830.0,5.8
459,202001051845.0,5.9
460,202001051900.0,6.0
461,202001051915.0,6.0
462,202001051930.0,6.0
463,202001051945.0,6.0
464,202001052000.0,6.0
465,202001052015.0,5.925
466,202001052030.0,5.85
467,202001052045.0,5.775
468,202001052100.0,5.7
469,202001052115.0,5.7
470,202001052130.0,5.7
471,202001052145.0,5.7
472,202001052200.0,5.7
473,202001052215.0,5.725
474,202001052230.0,5.75
475,202001052245.0,5.775
476,202001052300.0,5.8
477,202001052315.0,5.725
478,202001052330.0,5.65
479,202001052345.0,5.575
480,202001060000.0,5.5
481,202001060015.0,5.5
482,202001060030.0,5.5
483,202001060045.0,5.5
484,202001060100.0,5.5
485,202001060115.0,5.475
486,202001060130.0,5.45
487,202001060145.0,5.425000000000001
488,202001060200.0,5.4
489,202001060215.0,5.4
490,202001060230.0,5.4
491,202001060245.0,5.4
