,Zeitstempel,Wert
0,201801010000.0,10.1
1,201801010100.0,9.9
2,201801010200.0,9.6
3,201801010300.0,9.4
4,201801010400.0,8.6
5,201801010500.0,8.4
6,201801010600.0,8.3
7,201801010700.0,8.3
8,201801010800.0,7.4
9,201801010900.0,5.6
10,201801011000.0,6.1
11,201801011100.0,6.4
12,201801011200.0,7.6
13,201801011300.0,7.7
14,201801011400.0,7.5
15,201801011500.0,7.1
16,201801011600.0,6.6
17,201801011700.0,5.9
18,201801011800.0,5.8
19,201801011900.0,6.0
20,201801012000.0,5.8
21,201801012100.0,5.9
22,201801012200.0,5.2
23,201801012300.0,4.9
24,201801020000.0,4.6
25,201801020100.0,4.2
26,201801020200.0,4.0
27,201801020300.0,4.2
28,201801020400.0,4.6
29,201801020500.0,4.9
30,201801020600.0,5.2
31,201801020700.0,5.3
32,201801020800.0,5.3
33,201801020900.0,5.2
34,201801021000.0,5.7
35,201801021100.0,6.2
36,201801021200.0,6.1
37,201801021300.0,6.4
38,201801021400.0,6.3
39,201801021500.0,5.9
40,201801021600.0,5.5
41,201801021700.0,5.7
42,201801021800.0,5.5
43,201801021900.0,5.6
44,201801022000.0,5.2
45,201801022100.0,5.2
46,201801022200.0,5.0
47,201801022300.0,5.4
48,201801030000.0,5.4
49,201801030100.0,6.2
50,201801030200.0,5.8
51,201801030300.0,5.6
52,201801030400.0,5.7
53,201801030500.0,6.2
54,201801030600.0,7.9
55,201801030700.0,8.7
56,201801030800.0,8.9
57,201801030900.0,7.5
58,201801031000.0,6.8
59,201801031100.0,7.2
60,201801031200.0,7.6
61,201801031300.0,6.2
62,201801031400.0,6.3
63,201801031500.0,6.2
64,201801031600.0,6.3
65,201801031700.0,6.6
66,201801031800.0,6.4
67,201801031900.0,6.8
68,201801032000.0,7.1
69,201801032100.0,7.1
70,201801032200.0,7.2
71,201801032300.0,6.9
72,201801040000.0,6.9
73,201801040100.0,6.5
74,201801040200.0,6.0
75,201801040300.0,6.6
76,201801040400.0,6.7
77,201801040500.0,6.9
78,201801040600.0,7.0
79,201801040700.0,7.2
80,201801040800.0,6.7
81,201801040900.0,6.5
82,201801041000.0,6.9
83,201801041100.0,7.1
84,201801041200.0,7.1
85,201801041300.0,7.4
86,201801041400.0,7.5
87,201801041500.0,7.6
88,201801041600.0,7.6
89,201801041700.0,6.5
90,201801041800.0,6.0
91,201801041900.0,6.5
92,201801042000.0,6.9
93,201801042100.0,8.4
94,201801042200.0,9.3
95,201801042300.0,8.8
96,201801050000.0,8.4
97,201801050100.0,7.7
98,201801050200.0,7.7
99,201801050300.0,7.8
100,201801050400.0,7.4
101,201801050500.0,7.4
102,201801050600.0,7.6
103,201801050700.0,7.8
104,201801050800.0,6.8
105,201801050900.0,6.6
106,201801051000.0,6.2
107,201801051100.0,6.8
108,201801051200.0,7.0
109,201801051300.0,7.0
110,201801051400.0,7.0
111,201801051500.0,6.8
112,201801051600.0,6.6
113,201801051700.0,6.5
114,201801051800.0,7.1
115,201801051900.0,7.3
116,201801052000.0,6.9
117,201801052100.0,7.6
118,201801052200.0,7.8
119,201801052300.0,7.9
120,201801060000.0,7.0
121,201801060100.0,6.6
122,201801060200.0,7.3
123,201801060300.0,6.7
124,201801060400.0,6.1
125,201801060500.0,5.4
126,201801060600.0,5.2
127,201801060700.0,5.2
128,201801060800.0,5.9
129,201801060900.0,6.0
130,201801061000.0,6.1
131,201801061100.0,6.3
132,201801061200.0,6.3
133,201801061300.0,6.6
134,201801061400.0,6.3
135,201801061500.0,5.6
136,201801061600.0,4.9
137,201801061700.0,4.0
138,201801061800.0,4.9
139,201801061900.0,4.6
140,201801062000.0,4.1
141,201801062100.0,4.0
142,201801062200.0,3.9
143,201801062300.0,3.5
144,201801070000.0,3.4
145,201801070100.0,3.0
146,201801070200.0,2.7
147,201801070300.0,1.8
148,201801070400.0,1.0
149,201801070500.0,0.8
150,201801070600.0,0.3
151,201801070700.0,0.1
152,201801070800.0,0.1
153,201801070900.0,0.4
154,201801071000.0,0.7
155,201801071100.0,1.1
156,201801071200.0,1.7
157,201801071300.0,1.8
158,201801071400.0,2.1
159,201801071500.0,1.2
160,201801071600.0,0.1
161,201801071700.0,-0.5
162,201801071800.0,-0.9
163,201801071900.0,-1.2
164,201801072000.0,-1.3
165,201801072100.0,-1.7
166,201801072200.0,-2.1
167,201801072300.0,-2.2
168,201801080000.0,-2.2
169,201801080100.0,-2.2
170,201801080200.0,-2.5
171,201801080300.0,-2.5
172,201801080400.0,-2.7
173,201801080500.0,-2.6
174,201801080600.0,-2.7
175,201801080700.0,-2.9
176,201801080800.0,-3.1
177,201801080900.0,-2.3
178,201801081000.0,-1.4
179,201801081100.0,-0.1
180,201801081200.0,0.8
181,201801081300.0,1.2
182,201801081400.0,1.4
183,201801081500.0,0.7
184,201801081600.0,0.4
185,201801081700.0,-0.1
186,201801081800.0,-0.5
187,201801081900.0,-0.7
188,201801082000.0,-0.7
189,201801082100.0,-0.9
190,201801082200.0,-1.0
191,201801082300.0,-1.2
192,201801090000.0,-1.4
193,201801090100.0,-1.4
194,201801090200.0,-1.3
195,201801090300.0,-1.3
196,201801090400.0,-1.3
197,201801090500.0,-1.2
198,201801090600.0,-1.0
199,201801090700.0,-0.3
200,201801090800.0,0.3
201,201801090900.0,1.1
202,201801091000.0,2.0
203,201801091100.0,2.7
204,201801091200.0,2.9
205,201801091300.0,3.1
206,201801091400.0,3.2
207,201801091500.0,3.2
208,201801091600.0,2.5
209,201801091700.0,1.7
210,201801091800.0,2.1
211,201801091900.0,2.1
212,201801092000.0,2.0
213,201801092100.0,1.1
214,201801092200.0,0.5
215,201801092300.0,0.6
216,201801100000.0,1.1
217,201801100100.0,1.4
218,201801100200.0,2.1
219,201801100300.0,3.6
220,201801100400.0,4.2
221,201801100500.0,4.2
222,201801100600.0,3.8
223,201801100700.0,2.6
224,201801100800.0,2.6
225,201801100900.0,5.2
226,201801101000.0,5.9
227,201801101100.0,6.8
228,201801101200.0,8.3
229,201801101300.0,8.5
230,201801101400.0,8.0
231,201801101500.0,7.6
232,201801101600.0,7.1
233,201801101700.0,7.3
234,201801101800.0,5.0
235,201801101900.0,4.0
236,201801102000.0,3.7
237,201801102100.0,4.6
238,201801102200.0,3.3
239,201801102300.0,2.9
240,201801110000.0,1.9
241,201801110100.0,0.6
242,201801110200.0,0.7
243,201801110300.0,0.4
244,201801110400.0,-0.5
245,201801110500.0,-0.6
246,201801110600.0,0.0
247,201801110700.0,-0.7
248,201801110800.0,-1.0
249,201801110900.0,-0.7
250,201801111000.0,0.1
251,201801111100.0,0.9
252,201801111200.0,2.1
253,201801111300.0,4.1
254,201801111400.0,4.7
255,201801111500.0,3.8
256,201801111600.0,2.8
257,201801111700.0,2.1
258,201801111800.0,2.1
259,201801111900.0,2.0
260,201801112000.0,2.1
261,201801112100.0,2.1
262,201801112200.0,2.3
263,201801112300.0,2.1
264,201801120000.0,2.3
265,201801120100.0,2.1
266,201801120200.0,2.2
267,201801120300.0,2.3
268,201801120400.0,2.3
269,201801120500.0,2.3
270,201801120600.0,2.4
271,201801120700.0,2.6
272,201801120800.0,2.6
273,201801120900.0,2.2
274,201801121000.0,2.1
275,201801121100.0,2.6
276,201801121200.0,2.9
277,201801121300.0,2.4
278,201801121400.0,2.5
279,201801121500.0,2.5
280,201801121600.0,2.5
281,201801121700.0,2.6
282,201801121800.0,2.4
283,201801121900.0,2.2
284,201801122000.0,2.0
285,201801122100.0,2.2
286,201801122200.0,2.3
287,201801122300.0,2.3
288,201801130000.0,2.3
289,201801130100.0,2.4
290,201801130200.0,2.5
291,201801130300.0,2.6
292,201801130400.0,2.6
293,201801130500.0,2.6
294,201801130600.0,2.5
295,201801130700.0,2.6
296,201801130800.0,2.6
297,201801130900.0,2.4
298,201801131000.0,2.4
299,201801131100.0,2.3
300,201801131200.0,2.4
301,201801131300.0,2.3
302,201801131400.0,2.0
303,201801131500.0,2.0
304,201801131600.0,2.0
305,201801131700.0,1.3
306,201801131800.0,0.8
307,201801131900.0,0.5
